#	Card	Card type	Type	Level	Attack	Defense	Password	SC Cost	Image
1	Blue-eyes White Dragon	Monster	Dragon	8	3000	2500	89631139	999999	https://ms.yugipedia.com//b/ba/BlueeyesWhiteDragon-FMR-NA-VG.png
2	Mystical Elf	Monster	Spellcaster	4	800	2000	15025844	160	https://ms.yugipedia.com//a/a6/MysticalElf-FMR-NA-VG.png
3	Hitotsu-me Giant	Monster	Beast-Warrior	4	1200	1000	76184692	70	https://ms.yugipedia.com//4/49/HitotsumeGiant-FMR-NA-VG.png
4	Baby Dragon	Monster	Dragon	3	1200	700	88819587	999999	https://ms.yugipedia.com//8/83/BabyDragon-FMR-NA-VG.png
5	Ryu-kishin	Monster	Fiend	3	1000	500	15303296	30	https://ms.yugipedia.com//a/a7/Ryukishin-FMR-NA-VG.png
6	Feral Imp	Monster	Fiend	4	1300	1400	41392891	140	https://ms.yugipedia.com//c/c7/FeralImp-FMR-NA-VG.png
7	Winged Dragon #1	Monster	Dragon	4	1400	1200	87796900	999999	https://ms.yugipedia.com//3/3f/WingedDragon1-FMR-NA-VG.png
8	Mushroom Man	Monster	Plant	2	800	600	14181608	30	https://ms.yugipedia.com//c/c6/MushroomMan-FMR-NA-VG.png
9	Shadow Specter	Monster	Zombie	1	500	200	40575313	15	https://ms.yugipedia.com//4/4d/ShadowSpecter-FMR-NA-VG.png
10	Blackland Fire Dragon	Monster	Dragon	4	1500	800	87564352	80	https://ms.yugipedia.com//5/57/BlacklandFireDragon-FMR-NA-VG.png
11	Sword Arm of Dragon	Monster	Dinosaur	6	1750	2030	13069066	1000	https://ms.yugipedia.com//c/cf/SwordArmofDragon-FMR-NA-VG.png
12	Swamp Battleguard	Monster	Warrior	5	1800	1500	40453765	290	https://ms.yugipedia.com//1/13/SwampBattleguard-FMR-NA-VG.png
13	Tyhone	Monster	Winged Beast	4	1200	1400	72842870	120	https://ms.yugipedia.com//c/cc/Tyhone-FMR-NA-VG.png
14	Battle Steer	Monster	Beast-Warrior	5	1800	1300	18246479	230	https://ms.yugipedia.com//3/38/BattleSteer-FMR-NA-VG.png
15	Flame Swordsman	Monster	Warrior	5	1800	1600	45231177	320	https://ms.yugipedia.com//f/f1/FlameSwordsman-FMR-NA-VG.png
16	Time Wizard	Monster	Spellcaster	2	500	400	71625222	999999	https://ms.yugipedia.com//4/4d/TimeWizard-FMR-NA-VG.png
17	Right Leg of the Forbidden One	Monster	Spellcaster	1	200	300	8124921	999999	https://ms.yugipedia.com//e/e5/RightLegoftheForbiddenOne-FMR-NA-VG.png
18	Left Leg of the Forbidden One	Monster	Spellcaster	1	200	300	44519536	999999	https://ms.yugipedia.com//5/5c/LeftLegoftheForbiddenOne-FMR-NA-VG.png
19	Right Arm of the Forbidden One	Monster	Spellcaster	1	200	300	70903634	999999	https://ms.yugipedia.com//a/aa/RightArmoftheForbiddenOne-FMR-NA-VG.png
20	Left Arm of the Forbidden One	Monster	Spellcaster	1	200	300	7902349	999999	https://ms.yugipedia.com//f/f2/LeftArmoftheForbiddenOne-FMR-NA-VG.png
21	Exodia the Forbidden	Monster	Spellcaster	3	1000	1000	33396948	999999	https://ms.yugipedia.com//7/77/ExodiatheForbidden-FMR-NA-VG.png
22	Summoned Skull	Monster	Fiend	6	2500	1200	70781052	999999	https://ms.yugipedia.com//a/a6/SummonedSkull-FMR-NA-VG.png
23	The Wicked Worm Beast	Monster	Beast	3	1400	700	6285791	60	https://ms.yugipedia.com//6/65/TheWickedWormBeast-FMR-NA-VG.png
24	Skull Servant	Monster	Zombie	1	300	200	32274490	10	https://ms.yugipedia.com//1/1d/SkullServant-FMR-NA-VG.png
25	Horn Imp	Monster	Fiend	4	1300	1000	69669405	80	https://ms.yugipedia.com//3/3f/HornImp-FMR-NA-VG.png
26	Battle Ox	Monster	Beast-Warrior	4	1700	1000	5053103	999999	https://ms.yugipedia.com//3/3e/BattleOx-FMR-NA-VG.png
27	Beaver Warrior	Monster	Beast-Warrior	4	1200	1500	32452818	140	https://ms.yugipedia.com//1/1a/BeaverWarrior-FMR-NA-VG.png
28	Rock Ogre Grotto #1	Monster	Rock	3	800	1200	68846917	999999	https://ms.yugipedia.com//c/ce/RockOgreGrotto1-FMR-NA-VG.png
29	Mountain Warrior	Monster	Beast-Warrior	3	600	1000	4931562	35	https://ms.yugipedia.com//a/a4/MountainWarrior-FMR-NA-VG.png
30	Zombie Warrior	Monster	Zombie	3	1200	900	31339260	60	https://ms.yugipedia.com//8/85/ZombieWarrior-FMR-NA-VG.png
